date,Open,High,Low,Close,Adj Close,Volume,coin,year,month,day,is_quarter_end,open-close,low-high,target,Price Change,Gain,Loss,Avg Gain,Avg Loss,RS,RSI
2019-01-14,3557.31103515625,3727.836181640625,3552.28515625,3706.05224609375,3706.05224609375,5651384490,btc,2019,1,14,0,-148.7412109375,-175.551025390625,0,153.09912109375,153.09912109375,0.0,37.420846121651785,47.23997279575893,0.7921436848289489,44.200902613707285
2019-01-15,3704.21630859375,3720.1533203125,3619.94921875,3630.67529296875,3630.67529296875,5537192302,btc,2019,1,15,0,73.541015625,-100.2041015625,1,-75.376953125,0.0,75.376953125,37.420846121651785,52.62404087611607,0.7110979221406694,41.557991096795334
2019-01-16,3631.509765625,3685.777099609375,3624.67333984375,3655.0068359375,3655.0068359375,5394457145,btc,2019,1,16,0,-23.4970703125,-61.103759765625,1,24.33154296875,24.33154296875,0.0,32.023856026785715,52.62404087611607,0.6085404217090454,37.83183894517753
2019-01-17,3651.87109375,3680.135986328125,3621.9609375,3678.56396484375,3678.56396484375,5464420383,btc,2019,1,17,0,-26.69287109375,-58.175048828125,0,23.55712890625,23.55712890625,0.0,33.706508091517854,45.0048828125,0.7489522466250251,42.82291000627876
2019-01-18,3677.990478515625,3682.52001953125,3637.080810546875,3657.83935546875,3657.83935546875,5002961727,btc,2019,1,18,0,20.151123046875,-45.439208984375,1,-20.724609375,0.0,20.724609375,32.208199637276785,46.48521205357143,0.6928698012640828,40.92871175011274
2019-01-19,3652.3779296875,3758.533447265625,3652.3779296875,3728.568359375,3728.568359375,5955691380,btc,2019,1,19,0,-76.1904296875,-106.155517578125,0,70.72900390625,70.72900390625,0.0,37.26027134486607,45.59071568080357,0.817277614278709,44.97263422259744
2019-01-20,3725.446044921875,3743.387939453125,3583.01953125,3601.013671875,3601.013671875,5582489560,btc,2019,1,20,0,124.432373046875,-160.368408203125,0,-127.5546875,0.0,127.5546875,20.728986467633927,54.70176478794643,0.3789454791447894,27.480816673028173
2019-01-21,3600.372802734375,3608.8408203125,3558.537109375,3576.032470703125,3576.032470703125,5004347059,btc,2019,1,21,0,24.34033203125,-50.3037109375,1,-24.981201171875,0.0,24.981201171875,20.728986467633927,52.815830775669646,0.39247676621197874,28.185516321371168
2019-01-22,3575.081298828125,3620.74658203125,3539.721435546875,3604.5771484375,3604.5771484375,5313623556,btc,2019,1,22,0,-29.495849609375,-81.025146484375,0,28.544677734375,28.544677734375,0.0,22.367919921875,52.815830775669646,0.42350786863280954,29.75100299512657
2019-01-23,3605.55712890625,3623.06787109375,3565.31396484375,3585.123046875,3585.123046875,5433755649,btc,2019,1,23,0,20.43408203125,-57.75390625,1,-19.4541015625,0.0,19.4541015625,22.0501708984375,54.205409458705354,0.4067891215771687,28.91614068788877
2019-01-24,3584.500244140625,3616.08740234375,3569.0927734375,3600.865478515625,3600.865478515625,5262869046,btc,2019,1,24,0,-16.365234375,-46.99462890625,0,15.742431640625,15.742431640625,0.0,23.174630301339285,28.750279017857142,0.8060662745897264,44.63104626505668
2019-01-25,3607.390380859375,3612.927734375,3575.597412109375,3599.765869140625,3599.765869140625,5265847539,btc,2019,1,25,0,7.62451171875,-37.330322265625,1,-1.099609375,0.0,1.099609375,22.571707589285715,28.828822544642858,0.7829562776742723,43.91337507701411
2019-01-26,3599.71533203125,3654.93310546875,3593.345947265625,3602.46044921875,3602.46044921875,5098183235,btc,2019,1,26,0,-2.7451171875,-61.587158203125,0,2.694580078125,2.694580078125,0.0,22.764177594866073,26.967075892857142,0.844147051215727,45.77438933946376
2019-01-27,3604.687255859375,3612.67138671875,3567.245849609375,3583.9658203125,3583.9658203125,5570752966,btc,2019,1,27,0,20.721435546875,-45.425537109375,0,-18.49462890625,0.0,18.49462890625,22.764177594866073,20.548985072544642,1.1078005806370035,52.55718168092602
